section,subgroup,metric,value
overall,all,total_accident_rows,311199
overall,all,accident_rows_with_sensor_id,311199
overall,all,accident_rows_with_covered_sensors,294989
overall,all,accident_rows_with_missing_sensors,16210
overall,all,affected_accident_row_pct,5.21
overall,all,accident_unique_sensors,4763
overall,all,covered_accident_sensors,4403
overall,all,missing_accident_sensors,360
overall,all,top_10_missing_sensors_row_pct_of_missing_rows,17.63
overall,all,top_25_missing_sensors_row_pct_of_missing_rows,33.6
by_analysis_year,2016,missing_sensor_row_pct,3.78
by_analysis_year,2017,missing_sensor_row_pct,3.76
by_analysis_year,2018,missing_sensor_row_pct,3.49
by_analysis_year,2019,missing_sensor_row_pct,6.22
by_analysis_year,2020,missing_sensor_row_pct,6.31
by_analysis_year,2021,missing_sensor_row_pct,6.27
by_analysis_year,2022,missing_sensor_row_pct,6.69
by_analysis_year,2023,missing_sensor_row_pct,6.67
by_analysis_year,2024,missing_sensor_row_pct,3.43
by_analysis_year,2016,missing_sensor_rows,702
by_analysis_year,2017,missing_sensor_rows,719
by_analysis_year,2018,missing_sensor_rows,674
by_analysis_year,2019,missing_sensor_rows,2588
by_analysis_year,2020,missing_sensor_rows,1674
by_analysis_year,2021,missing_sensor_rows,2119
by_analysis_year,2022,missing_sensor_rows,2548
by_analysis_year,2023,missing_sensor_rows,2611
by_analysis_year,2024,missing_sensor_rows,2575
top_missing_distritos,centro,missing_sensor_rows,2036
top_missing_distritos,fuencarral-el pardo,missing_sensor_rows,1742
top_missing_distritos,puente de vallecas,missing_sensor_rows,1548
top_missing_distritos,retiro,missing_sensor_rows,1243
top_missing_distritos,chamartín,missing_sensor_rows,1078
top_missing_distritos,vicálvaro,missing_sensor_rows,1014
top_missing_distritos,latina,missing_sensor_rows,1003
top_missing_distritos,carabanchel,missing_sensor_rows,921
top_missing_distritos,moncloa-aravaca,missing_sensor_rows,909
top_missing_distritos,usera,missing_sensor_rows,729
top_missing_distritos,hortaleza,missing_sensor_rows,610
top_missing_distritos,moratalaz,missing_sensor_rows,563
top_missing_distritos,chamberí,missing_sensor_rows,485
top_missing_distritos,barajas,missing_sensor_rows,479
top_missing_distritos,salamanca,missing_sensor_rows,367
missing_rows_by_temporal_bin_4h,00_03,missing_sensor_rows,1081
missing_rows_by_temporal_bin_4h,04_07,missing_sensor_rows,1047
missing_rows_by_temporal_bin_4h,08_11,missing_sensor_rows,2992
missing_rows_by_temporal_bin_4h,12_15,missing_sensor_rows,3823
missing_rows_by_temporal_bin_4h,16_19,missing_sensor_rows,4289
missing_rows_by_temporal_bin_4h,20_23,missing_sensor_rows,2978
