sensor_id,accident_rows,years_present_n,first_year,last_year,top_distrito,top_temporal_bin_4h,cumulative_missing_rows,cumulative_missing_rows_pct,missing_sensor_rank,tipo_elem,distrito_sensor,sensor_name,latitud,longitud,in_official_sensor_locations
11348,428,8,2017,2024,vicÃ¡lvaro,12_15,428,2.64,1,,,,,,FALSE
4138,338,9,2016,2024,retiro,16_19,766,4.73,2,,,,,,FALSE
5830,315,9,2016,2024,puente de vallecas,16_19,1081,6.67,3,,,,,,FALSE
4007,311,9,2016,2024,chamartÃ­n,12_15,1392,8.59,4,,,,,,FALSE
9983,289,9,2016,2024,puente de vallecas,16_19,1681,10.37,5,URB,13,Av. Entrevías - La Mancha-Membezar,40.3821728331818,-3.66918172567957,TRUE
11208,275,9,2016,2024,moncloa-aravaca,16_19,1956,12.07,6,URB,1,CUESTA SAN VICENTE O-E(PM 16004+PM16049)(Pso. DEL REY-ARRIAZA),40.420248104876,-3.71752884608077,TRUE
10465,251,9,2016,2024,centro,16_19,2207,13.62,7,,,,,,FALSE
5811,221,8,2016,2024,puente de vallecas,20_23,2428,14.98,8,,,,,,FALSE
5867,217,9,2016,2024,moratalaz,16_19,2645,16.32,9,URB,13,Ramón Pérez de Ayala  - Ramón Pérez de Ayala-El Bosco,40.4019134169455,-3.65186806994926,TRUE
10466,213,6,2019,2024,centro,16_19,2858,17.63,10,,,,,,FALSE
10385,202,9,2016,2024,centro,20_23,3060,18.88,11,,,,,,FALSE
10418,200,9,2016,2024,latina,16_19,3260,20.11,12,URB,10,(MICRO)AV. POBLADOS O-E GIRO PADRE PIQUER(DELANTE GR-7),40.3902728260897,-3.76758953582971,TRUE
10222,193,9,2016,2024,latina,16_19,3453,21.3,13,URB,10,(MICRO) SEBASTIAN ALVARO SALIDA DELANTE GR-8,40.3940424329844,-3.77238566622397,TRUE
11207,192,9,2016,2024,centro,20_23,3645,22.49,14,URB,1,GRAN VIA N-S (PM16012+PM16013),40.422153691791,-3.7093601337052,TRUE
6984,191,8,2017,2024,vicÃ¡lvaro,16_19,3836,23.66,15,URB,19,Bulevar José Prat - Av.Democracia-Cordel Pavones,40.3969886374482,-3.61872294055857,TRUE
4435,181,9,2016,2024,chamberÃ­,12_15,4017,24.78,16,,,,,,FALSE
4990,175,9,2016,2024,usera,12_15,4192,25.86,17,,,,,,FALSE
4165,167,9,2016,2024,retiro,12_15,4359,26.89,18,URB,3,AV. CIUDAD BARCELONA E-O(JULIAN GAYARRE-Po INFANTA ISABEL),40.4059338669074,-3.68620710386909,TRUE
4939,166,8,2016,2024,carabanchel,16_19,4525,27.91,19,,,,,,FALSE
10332,161,9,2016,2024,usera,16_19,4686,28.91,20,URB,12,(MICRO) PSO. SATA. MARIA DE LA CABEZA S-N,40.384595039748,-3.71762439971962,TRUE
9938,156,9,2016,2024,centro,20_23,4842,29.87,21,,,,,,FALSE
10464,155,9,2016,2024,centro,20_23,4997,30.83,22,,,,,,FALSE
11367,153,8,2016,2024,fuencarral-el pardo,16_19,5150,31.77,23,M30,8,PM13111,40.4834519465385,-3.68859649371416,TRUE
11205,150,9,2016,2024,retiro,12_15,5300,32.7,24,URB,3,(MICRO) DR. ESQUERDO N-S(DELANTE GRUPO 1 SALIDA),40.4176699623419,-3.66934549096371,TRUE
11377,147,6,2019,2024,fuencarral-el pardo,16_19,5447,33.6,25,M30,5,PM13187,40.4838884532551,-3.67752797790922,TRUE
