rows_n,positive_rows_n,zero_rows_n,zero_rows_pct,target_mean,target_variance,predicted_mean,predicted_p50,predicted_p95,predicted_p99,mean_poisson_deviance,mae,rmse,calibration_bins_n,calibration_mean_abs_gap,calibration_max_abs_gap,fit_method,pearson_dispersion,alpha_estimate,overdispersion_flag,split,model_name,segment,converged
2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601428837,0.039253131470940214,0.02218256340105434,0.12846201018790213,0.23958659922265615,0.22041258884216988,0.07125819901715685,0.22123602423768216,10.0,0.002013374073902395,0.008431411882040898,sklearn.PoissonRegressor,1.029876054900833,0.0,False,train,poisson_a4,all,
510060,19416,490644,96.19338901305728,0.040120770105477786,0.04391437979955594,0.02769382092446244,0.015604710067868658,0.09001911788870096,0.17600692276785718,0.2265880583399169,0.0623153901259291,0.20302308784019438,10.0,0.012426949181015346,0.0421540631264445,sklearn.PoissonRegressor,1.4490861563589548,0.0,False,validation,poisson_a4,all,
375408,19366,356042,94.84134594894088,0.05460725397434258,0.05949940143397577,0.025152430568303113,0.013747130574230224,0.08125334031187058,0.16976258688663176,0.28923883400438855,0.07253655859257857,0.23573821231465267,10.0,0.02945475436933977,0.1189417639515982,sklearn.PoissonRegressor,2.0947207930137846,0.0,True,test,poisson_a4,all,
19366,19366,0,0.0,1.05855623257255,0.09065358010238193,0.07038516209993649,0.0441859305672375,0.20409073125237082,0.4728278450513775,4.772481823030215,0.9889218105217686,1.0242980997638034,,,,sklearn.PoissonRegressor,,0.0,,test,poisson_a4,positive_obs,
356042,0,356042,100.0,0.0,0.0,0.022692111058690175,0.013005470825426102,0.0728162211963015,0.14637654658755686,0.04538422211738035,0.022692111058690175,0.039081845480613935,,,,sklearn.PoissonRegressor,,0.0,,test,poisson_a4,zero_obs,
85888,85888,0,0.0,1.0898029992548435,0.3314822730386945,0.1016880701200654,0.06703151519760314,0.27362611267998305,0.6279372671492343,4.144211036092186,0.9904904982715468,1.1159458055872673,,,,sklearn.PoissonRegressor,,0.0,,train,poisson_a4,positive_obs,
2299280,0,2299280,100.0,0.0,0.0,0.03692091790378182,0.02137385566247693,0.12126440493097894,0.22189207917181072,0.07384183580756364,0.03692091790378182,0.06523095427553828,,,,sklearn.PoissonRegressor,,0.0,,train,poisson_a4,zero_obs,
19416,19416,0,0.0,1.053976102183766,0.08505526601315479,0.07268880399078292,0.04699892649743449,0.2053231036273572,0.46514344645240396,4.642827362585778,0.982200422599152,1.0170557481393894,,,,sklearn.PoissonRegressor,,0.0,,validation,poisson_a4,positive_obs,
490644,0,490644,100.0,0.0,0.0,0.025913257845701306,0.015005663575483143,0.08421690713553975,0.16051553372981292,0.05182651569140261,0.025913257845701306,0.04376778672537952,,,,sklearn.PoissonRegressor,,0.0,,validation,poisson_a4,zero_obs,
2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601428837,0.03924079453690633,0.022187369494173038,0.12950096398476546,0.24059536873385737,0.22043553893362558,0.071302855275515,0.2217931954360713,10.0,0.0019507141907347057,0.008228706673628766,statsmodels.discrete.NegativeBinomial_mle,0.9932191306277756,0.8942244597236275,False,train,negative_binomial_b4,all,True
510060,19416,490644,96.19338901305728,0.040120770105477786,0.04391437979955594,0.028773463896944265,0.016215446378106884,0.0945555205576851,0.18215016942107282,0.22558331654300148,0.06323254523377984,0.2029807603749296,10.0,0.011347306208533527,0.03791777946621576,statsmodels.discrete.NegativeBinomial_mle,1.3562853614182122,0.8942244597236275,False,validation,negative_binomial_b4,all,True
375408,19366,356042,94.84134594894088,0.05460725397434258,0.05949940143397577,0.026425358209814825,0.0144820131240227,0.08647306948744565,0.1764821954794516,0.28607163316691026,0.0735340606865105,0.23551888087656783,10.0,0.028181830605507725,0.11408447102030501,statsmodels.discrete.NegativeBinomial_mle,1.9337449294550058,0.8942244597236275,True,test,negative_binomial_b4,all,True
19366,19366,0,0.0,1.05855623257255,0.09065358010238193,0.07300791179179361,0.046846432856412504,0.20922389661821586,0.47300873320966924,4.666980292976497,0.9862054631380384,1.0220531378081008,,,,statsmodels.discrete.NegativeBinomial_mle,,0.8942244597236275,,test,negative_binomial_b4,positive_obs,
356042,0,356042,100.0,0.0,0.0,0.023891618559243828,0.01369435141850325,0.07759424777698011,0.1530533497528147,0.047783237118487656,0.023891618559243828,0.0408446443403459,,,,statsmodels.discrete.NegativeBinomial_mle,,0.8942244597236275,,test,negative_binomial_b4,zero_obs,
85888,85888,0,0.0,1.0898029992548435,0.3314822730386945,0.10066096758394359,0.06728267494144477,0.2729220533348297,0.5972743392356181,4.143479380669355,0.9910461353348023,1.120493582223431,,,,statsmodels.discrete.NegativeBinomial_mle,,0.8942244597236275,,train,negative_binomial_b4,positive_obs,
2299280,0,2299280,100.0,0.0,0.0,0.03694648683072702,0.021371017438135683,0.12234715923918489,0.22286918243192905,0.07389297366145404,0.03694648683072702,0.0642745441956963,,,,statsmodels.discrete.NegativeBinomial_mle,,0.8942244597236275,,train,negative_binomial_b4,zero_obs,
19416,19416,0,0.0,1.053976102183766,0.08505526601315479,0.07474605116081005,0.04904385657373743,0.20979756704309938,0.45822145763050154,4.563822574374182,0.9799890995058022,1.0152210129034038,,,,statsmodels.discrete.NegativeBinomial_mle,,0.8942244597236275,,validation,negative_binomial_b4,positive_obs,
490644,0,490644,100.0,0.0,0.0,0.026954214595383,0.015593350329253321,0.08846376819483633,0.16675970045077634,0.053908429190766,0.026954214595383,0.04522507585696379,,,,statsmodels.discrete.NegativeBinomial_mle,,0.8942244597236275,,validation,negative_binomial_b4,zero_obs,
