comparison_family,old_model,new_model,split,segment,metric,old_value,new_value,absolute_delta,relative_delta_pct,improvement_direction,improvement_label
poisson,poisson_a,poisson_a2,validation,all,mean_poisson_deviance,0.2324696299665047,0.23375196601653841,0.0012823360500337222,0.5516144410856967,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,all,mae,0.0627689227586265,0.06247105429452591,-0.00029786846410059103,-0.47454767583956053,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,all,rmse,0.2042624596863863,0.20386751768658404,-0.00039494199980225075,-0.19335026142768658,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,all,pearson_dispersion,1.5048160322988475,1.4932398642776017,-0.011576168021245836,-0.7692746337611372,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,all,calibration_mean_abs_gap,0.0122439137201164,0.012995666440856488,0.0007517527207400888,6.13980740083933,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,all,calibration_max_abs_gap,0.0517340497952169,0.05993409276029506,0.008200042965078154,15.85037900094242,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,positive_obs,mean_poisson_deviance,4.780453403462537,4.8409831849674685,0.06052978150493171,1.2661933167487691,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,positive_obs,mae,0.9856730867697586,0.9912694077014971,0.005596320931738452,0.5677664336031207,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,positive_obs,rmse,1.0225104237642297,1.0265454622457102,0.004035038481480457,0.3946207674466559,lower_is_better,none
poisson,poisson_a,poisson_a2,validation,positive_obs,predicted_mean,0.06905548405304802,0.06272822628981868,-0.006327257763229344,-9.162571010824832,contextual_readout,descriptive
poisson,poisson_a,poisson_a2,validation,positive_obs,predicted_p95,0.22307926057008926,0.18776818237743836,-0.03531107819265089,-15.828938155170416,contextual_readout,descriptive
poisson,poisson_a,poisson_a2,validation,zero_obs,mean_poisson_deviance,0.05249463191048261,0.0514323995953629,-0.0010622323151197113,-2.0235065500242033,lower_is_better,material
poisson,poisson_a,poisson_a2,validation,zero_obs,mae,0.026247315955241306,0.02571619979768145,-0.0005311161575598557,-2.0235065500242033,lower_is_better,material
poisson,poisson_a,poisson_a2,validation,zero_obs,rmse,0.04472272440434532,0.0387990950973138,-0.005923629307031518,-13.245233571808004,lower_is_better,material
poisson,poisson_a,poisson_a2,validation,zero_obs,predicted_mean,0.026247315955241306,0.02571619979768145,-0.0005311161575598557,-2.0235065500242033,contextual_readout,descriptive
poisson,poisson_a,poisson_a2,validation,zero_obs,predicted_p95,0.07413455994843046,0.06893925145231654,-0.005195308496113923,-7.007944067824626,contextual_readout,descriptive
poisson,poisson_a,poisson_a2,test,all,mean_poisson_deviance,0.2954140860954617,0.2994259728556387,0.004011886760176997,1.3580553362240737,lower_is_better,none
poisson,poisson_a,poisson_a2,test,all,mae,0.0727300979959024,0.07270162625509693,-2.8471740805460777e-05,-0.0391471228418596,lower_is_better,none
poisson,poisson_a,poisson_a2,test,all,rmse,0.2368622559973684,0.23726400715758014,0.0004017511602117385,0.16961383675084227,lower_is_better,none
poisson,poisson_a,poisson_a2,test,all,pearson_dispersion,2.176845689866842,2.1665852125003524,-0.010260477366489607,-0.4713461047906083,lower_is_better,none
poisson,poisson_a,poisson_a2,test,all,calibration_mean_abs_gap,0.029459241472823,0.030278561215425038,0.0008193197426020378,2.7811976875164417,lower_is_better,none
poisson,poisson_a,poisson_a2,test,all,calibration_max_abs_gap,0.1352623532725141,0.14298391260332718,0.007721559330813088,5.708579766652738,lower_is_better,none
poisson,poisson_a,poisson_a2,test,positive_obs,mean_poisson_deviance,4.8884820935290305,4.981997260242198,0.09351516671316773,1.9129694028531965,lower_is_better,none
poisson,poisson_a,poisson_a2,test,positive_obs,mae,0.9908203616453957,0.9981410085306123,0.0073206468852166084,0.73884703712181,lower_is_better,none
poisson,poisson_a,poisson_a2,test,positive_obs,rmse,1.0283261357588354,1.034154191634016,0.005828055875180649,0.5667517018693623,lower_is_better,none
poisson,poisson_a,poisson_a2,test,positive_obs,predicted_mean,0.06844485368046455,0.06043491067539551,-0.008009943005069034,-11.702768834109179,contextual_readout,descriptive
poisson,poisson_a,poisson_a2,test,positive_obs,predicted_p95,0.2240173840487102,0.18246900883977452,-0.04154837520893567,-18.546942410461064,contextual_readout,descriptive
poisson,poisson_a,poisson_a2,test,zero_obs,mean_poisson_deviance,0.04558582136276609,0.044729404609397706,-0.0008564167533683803,-1.8786910661390221,lower_is_better,material
