output_column,role,source,derivation,notes
edge_id,scoring_unit,selected_prediction_artifact,copied,global scoring unit key
analysis_year,scoring_unit,selected_prediction_artifact,copied,global scoring unit key
temporal_bin_4h,scoring_unit,selected_prediction_artifact,copied,global scoring unit key
is_weekend,scoring_unit,selected_prediction_artifact,copied,global scoring unit key
predicted_accident_count,raw_model_prediction,outputs/modeling/negative_binomial_b4_predictions.csv,copied_from_selected_baseline_predictions,expected count on the modeling unit
predicted_risk_score_prelim,preliminary_score,predicted_accident_count,"min(predicted_accident_count,p99_cap=0.227667121163)/p99_cap*100",monotonic capped linear index on 0-100 scale; not a routing weight
score_transform_rule,traceability,global_scoring_block,linear_cap_at_global_p99_then_scale_0_100,transformation code for the preliminary score
model_branch_used,traceability,global_scoring_block,global_default_model,pilot branch is not used in this phase
model_name_used,traceability,global_scoring_block,negative_binomial_b4,selected current global baseline
model_family_used,traceability,global_scoring_block,negative_binomial,selected current global baseline family
scoring_status,traceability,global_scoring_block,scored,row-level scoring status
scoring_note,traceability,global_scoring_block,prelim_score_not_routing_weight,explicitly not a final routing weight
prediction_split,traceability,selected_prediction_artifact,copied,train/validation/test split from the baseline artifact
prediction_bin,traceability,selected_prediction_artifact,copied,bin assigned during baseline evaluation
