parameter,parameter_type,coefficient,exp_coefficient,absolute_coefficient,rank_by_absolute_value
alpha,dispersion,0.8942244597236275,,0.8942244597236275,3
is_weekend_int,feature,-0.9506671636402517,0.3864830899569516,0.9506671636402517,2
exog_temporal_is_night_flag,feature,0.8454706357958929,2.3290737021235435,0.8454706357958929,4
hour_cos,feature,-0.7625066887136462,0.4664956009169213,0.7625066887136462,5
log1p_edge_bin_accident_count_prior_recent_3y,feature,0.7231988551015804,2.0610155671900965,0.7231988551015804,6
hour_sin,feature,-0.5240989283350311,0.5920886383668701,0.5240989283350311,7
exog_temporal_is_weekday_peak_flag,feature,0.47678278094842763,1.6108834914632226,0.47678278094842763,8
prior_dynamic_context_recent_missing_flag,feature,0.46916124473819465,1.5986527523178906,0.46916124473819465,9
log1p_edge_accident_count_prior_recent_3y,feature,0.3908482684307106,1.4782342016007997,0.3908482684307106,10
ctx_recent_fallback_edge_bin_weekend,feature,-0.3533287527637521,0.7023462571457116,0.3533287527637521,11
exog_edge_touches_dead_end_flag,feature,0.28864711807107674,1.3346206819008652,0.28864711807107674,12
ctx_recent_fallback_global_bin_weekend,feature,0.2535086732102191,1.2885385552025914,0.2535086732102191,13
exog_tunnel_flag,feature,0.2109346731230054,1.2348316847288754,0.2109346731230054,14
exog_node_degree_mean,feature,0.17346090408109283,1.1894141846200834,0.17346090408109283,15
exog_maxspeed_missing_flag,feature,-0.1627903887838308,0.84976929092233,0.1627903887838308,16
exog_distance_from_network_centroid_km,feature,-0.1227892615125898,0.8844500305843087,0.1227892615125898,17
analysis_year_offset,feature,-0.10301789724678038,0.9021108280369248,0.10301789724678038,18
log_edge_length_m,feature,0.08746202702297404,1.0914008199178098,0.08746202702297404,19
ctx_recent_fallback_edge_bin,feature,-0.06700965223200323,0.9351861746592888,0.06700965223200323,20
exog_road_class_is_major_flag,feature,0.05467966600607602,1.0562022230027241,0.05467966600607602,21
log1p_edge_accident_count_prior_total,feature,0.02914408003284677,1.0295729246899705,0.02914408003284677,22
log1p_edge_bin_accident_count_prior,feature,-0.024467619263468198,0.9758292864778539,0.024467619263468198,23
exog_oneway_code_b_flag,feature,-0.021431167078993264,0.9787968485966063,0.021431167078993264,24
log1p_prior_context_observation_n_recent_3y,feature,-0.006493956883885672,0.9935270832848333,0.006493956883885672,25
exog_maxspeed_kph_imputed_by_road_class,feature,0.002754548192251095,1.002758345445895,0.002754548192251095,26
prior_dynamic_context_signal_recent_3y_imputed,feature,-0.0008021084263001365,0.9991982131766711,0.0008021084263001365,27
intercept,intercept,-3.10595398380855,0.04478177708491405,3.10595398380855,1
