feature_name,role,source_columns,transformation,imputation_rule,training_scope_for_params,include_in_no_traffic_baseline,include_in_with_traffic_baseline,leak_safe,pilot_scope_only,exclusion_reason,parameter_details
pilot_accident_count,target,pilot_accident_count,none,none,not_applicable,True,True,True,True,,
log_edge_length_m,base,edge_length_m,"log1p(max(edge_length_m,0))",none,not_applicable,True,True,True,True,,
road_class_group,base,road_class,grouped_categorical_major_collector_local_other_missing,missing_to_missing_bucket,not_applicable,True,True,True,True,,
oneway_flag,base,oneway_raw,boolean_parse_to_int,non_true_to_0,not_applicable,True,True,True,True,,
maxspeed_kph_imputed,base,maxspeed_raw,regex_numeric_parse_then_train_road_class_median_imputation,train_road_class_median_else_train_global_median,train_months_1_4_all_rows,True,True,True,True,,global_median=50.000000
maxspeed_missing_flag,base,maxspeed_raw,is_na_after_numeric_parse_to_int,none,not_applicable,True,True,True,True,,
bridge_flag,base,bridge_raw,boolean_parse_to_int,non_true_to_0,not_applicable,True,True,True,True,,
tunnel_flag,base,tunnel_raw,boolean_parse_to_int,non_true_to_0,not_applicable,True,True,True,True,,
hour_sin,base,hour_sin,precomputed_from_temporal_bin_center,none,not_applicable,True,True,True,True,,
hour_cos,base,hour_cos,precomputed_from_temporal_bin_center,none,not_applicable,True,True,True,True,,
month_sin,base,month,sin(2*pi*month/12),none,not_applicable,True,True,True,True,,
is_weekend_int,base,is_weekend,cast_bool_to_int,none,not_applicable,True,True,True,True,,
traffic_covered_flag,traffic,traffic_coverage_flag,covered_to_1_else_0,none,not_applicable,False,True,True,True,,
traffic_missing_due_to_no_time_flag,traffic,traffic_missing_reason,pilot_sensor_support_but_no_traffic_for_time_to_1_else_0,none,not_applicable,False,True,True,True,,
traffic_intensidad_wins_log,traffic,traffic_intensidad_mean,train_covered_median_impute_then_winsorize_q01_q99_then_log1p,train_covered_median,train_months_1_4_covered_rows,False,True,True,True,,median=191.281250;q01=8.000000;q99=2661.701087
traffic_ocupacion_wins,traffic,traffic_ocupacion_mean,train_covered_median_impute_then_winsorize_q01_q99,train_covered_median,train_months_1_4_covered_rows,False,True,True,True,,median=2.875000;q01=0.007812;q99=42.530729
log1p_traffic_support_n,traffic_support,traffic_support_n,train_covered_median_impute_then_log1p,train_covered_median,train_months_1_4_covered_rows,False,True,True,True,,median=1.000000
log1p_traffic_n_observations,traffic_support,traffic_n_observations,train_covered_median_impute_then_log1p,train_covered_median,train_months_1_4_covered_rows,False,True,True,True,,median=205.000000
traffic_vmed_mean,excluded,traffic_vmed_mean,excluded_from_main_python_pilot_spec,not_applicable,not_applicable,False,False,True,True,excluded_from_main_spec_because_r_refinement_showed_only_marginal_gain_vs_support_block,
