gating_stage,rule_name,severity,passed,evidence,on_fail_behavior
pipeline_selection,global_default_does_not_auto_enable_pilot_traffic,error,True,global_default_model keeps traffic block disabled unless pilot pipeline is requested explicitly,architecture_regression
pipeline_selection,pilot_traffic_requires_explicit_opt_in,error,True,pilot_traffic_model is a separate branch and not the default,architecture_regression
pipeline_selection,pilot_traffic_gating_failure_aborts_instead_of_fallback,error,True,explicit pilot requests must fail loudly if pilot-only preconditions are not met,abort_pilot_traffic_block_activation
raw_training_table,required_columns_present,error,True,all_required_columns_present,abort_pilot_traffic_block_activation
raw_training_table,pilot_year_scope_only,error,True,analysis_year_values=2024,abort_pilot_traffic_block_activation
raw_training_table,pilot_month_scope_only,error,True,month_values=1|4|7|10,abort_pilot_traffic_block_activation
raw_training_table,pilot_key_unique,error,True,duplicate_surplus=0,abort_pilot_traffic_block_activation
transformed_model_input,required_columns_present,error,True,all_required_columns_present,abort_pilot_traffic_block_activation
transformed_model_input,pilot_year_scope_only,error,True,analysis_year_values=2024,abort_pilot_traffic_block_activation
transformed_model_input,pilot_month_scope_only,error,True,month_values=1|4|7|10,abort_pilot_traffic_block_activation
transformed_model_input,pilot_key_unique,error,True,duplicate_surplus=0,abort_pilot_traffic_block_activation
transformed_model_input,pilot_split_exact,error,True,observed=1:train|4:train|7:validation|10:test;expected=1:train|4:train|7:validation|10:test,abort_pilot_traffic_block_activation
