parameter,parameter_type,coefficient,exp_coefficient,absolute_coefficient,rank_by_absolute_value
intercept,intercept,-3.1210418223518492,0.04411118845027766,3.1210418223518492,0
is_weekend_int,feature,-0.9386534926842476,0.3911541728757022,0.9386534926842476,1
exog_temporal_is_night_flag,feature,0.8430407213558493,2.3234211227262747,0.8430407213558493,2
hour_cos,feature,-0.7549463015602403,0.4700358542448747,0.7549463015602403,3
log1p_edge_bin_accident_count_prior_recent_3y,feature,0.5551319066535445,1.7421707735350491,0.5551319066535445,4
hour_sin,feature,-0.5153743177590642,0.597276981388433,0.5153743177590642,5
prior_dynamic_context_recent_missing_flag,feature,0.5105067688862395,1.6661353265817724,0.5105067688862395,6
log1p_edge_accident_count_prior_recent_3y,feature,0.5009097403489364,1.6502218614347088,0.5009097403489364,7
exog_temporal_is_weekday_peak_flag,feature,0.4603340024125368,1.5846031578947,0.4603340024125368,8
exog_edge_touches_dead_end_flag,feature,0.33254008069276786,1.3945057908229888,0.33254008069276786,9
ctx_recent_fallback_edge_bin_weekend,feature,-0.24640311758607705,0.781607081849791,0.24640311758607705,10
exog_tunnel_flag,feature,0.21634737543755747,1.2415335823730247,0.21634737543755747,11
exog_node_degree_mean,feature,0.15518121535474208,1.167869577830285,0.15518121535474208,12
exog_maxspeed_missing_flag,feature,-0.15233246363647776,0.8587027458412322,0.15233246363647776,13
log1p_edge_bin_accident_count_prior,feature,0.1517257566945763,1.1638410170547198,0.1517257566945763,14
analysis_year_offset,feature,-0.1179774946356736,0.8887160532681171,0.1179774946356736,15
exog_distance_from_network_centroid_km,feature,-0.11783057178754255,0.8888466355543688,0.11783057178754255,16
log_edge_length_m,feature,0.07809021637811721,1.081220198040407,0.07809021637811721,17
log1p_edge_accident_count_prior_total,feature,-0.0654690580494396,0.9366280274093842,0.0654690580494396,18
exog_road_class_is_major_flag,feature,0.06496928530244825,1.067126247420889,0.06496928530244825,19
ctx_recent_fallback_edge_bin,feature,0.04262704823878904,1.0435486289673435,0.04262704823878904,20
ctx_recent_fallback_global_bin_weekend,feature,0.02347530169461498,1.0237530154697638,0.02347530169461498,21
exog_oneway_code_b_flag,feature,-0.02001667501246695,0.9801823286179322,0.02001667501246695,22
log1p_prior_context_observation_n_recent_3y,feature,0.01012484034173594,1.0101762699633967,0.01012484034173594,23
exog_maxspeed_kph_imputed_by_road_class,feature,0.003329625279539336,1.0033351746391772,0.003329625279539336,24
prior_dynamic_context_signal_recent_3y_imputed,feature,-0.0010233525227077767,0.998977170923913,0.0010233525227077767,25
