metric,value
training_rows_n,1644060.0
zero_rows_n,1519390.0
zero_rows_pct,92.41694342055642
positive_rows_n,124670.0
positive_rows_pct,7.583056579443572
unique_edges_n,55867.0
unique_years_n,9.0
unique_bins_n,12.0
edge_year_span_rows_n,1644060.0
m9_match_rows_n,134565.0
m9_missing_in_master_n,0.0
missing_edge_length_n,0.0
missing_hist_adjusted_reference_n,53868.0
missing_dynamic_reference_n,1321404.0
target_mean,0.0818492025838473
target_variance,0.10105407469938392
target_overdispersion_ratio,1.2346372537455441
