dataset_name,metric,value,sampling_stratum,positive_history_edges_n,never_accident_edges_n,sampled_zero_only_edges_n,stratum_deficit_n
training_table_comparison,current_rows_n,1644060.0,,,,,
training_table_comparison,current_positive_rows_n,124670.0,,,,,
training_table_comparison,current_zero_rows_n,1519390.0,,,,,
training_table_comparison,current_unique_edges_n,55867.0,,,,,
training_table_comparison,current_positive_history_edges_n,55867.0,,,,,
training_table_comparison,current_zero_only_control_edges_n,0.0,,,,,
training_table_comparison,current_positive_history_edges_pct,15.360736871047566,,,,,
training_table_comparison,current_zero_only_control_edges_pct,0.0,,,,,
training_table_comparison,controls_rows_n,1626576.0,,,,,
training_table_comparison,controls_zero_rows_n,1626576.0,,,,,
training_table_comparison,controls_unique_edges_n,55730.0,,,,,
training_table_comparison,controls_sampled_edges_pct_of_never_accident_pool,18.10397195882183,,,,,
training_table_comparison,with_controls_rows_n,3270636.0,,,,,
training_table_comparison,with_controls_positive_rows_n,124670.0,,,,,
training_table_comparison,with_controls_zero_rows_n,3145966.0,,,,,
training_table_comparison,with_controls_unique_edges_n,111597.0,,,,,
training_table_comparison,with_controls_positive_history_edges_n,55867.0,,,,,
training_table_comparison,with_controls_zero_only_control_edges_n,55730.0,,,,,
training_table_comparison,with_controls_positive_history_edges_pct,15.360736871047566,,,,,
training_table_comparison,with_controls_zero_only_control_edges_pct,15.323068463018972,,,,,
training_table_comparison,network_edges_n,363700.0,,,,,
training_table_comparison,never_accident_edges_n,307833.0,,,,,
training_table_comparison,sampled_zero_only_edges_n,55730.0,,,,,
training_table_comparison,sampled_strata_n,59.0,,,,,
training_table_comparison,strata_with_deficit_n,5.0,,,,,
zero_control_sampling_stratum,,,living_street|100_200,50.0,156.0,50.0,0.0
zero_control_sampling_stratum,,,living_street|200_500,0.0,10.0,0.0,0.0
zero_control_sampling_stratum,,,living_street|50_100,224.0,727.0,224.0,0.0
zero_control_sampling_stratum,,,living_street|lt50,474.0,4298.0,474.0,0.0
zero_control_sampling_stratum,,,motorway_link|100_200,142.0,604.0,142.0,0.0
zero_control_sampling_stratum,,,motorway_link|200_500,21.0,59.0,21.0,0.0
zero_control_sampling_stratum,,,motorway_link|50_100,408.0,2231.0,408.0,0.0
zero_control_sampling_stratum,,,motorway_link|ge500,0.0,2.0,0.0,0.0
zero_control_sampling_stratum,,,motorway_link|lt50,1708.0,12627.0,1708.0,0.0
zero_control_sampling_stratum,,,motorway|100_200,302.0,1261.0,302.0,0.0
zero_control_sampling_stratum,,,motorway|200_500,83.0,366.0,83.0,0.0
zero_control_sampling_stratum,,,motorway|50_100,562.0,2602.0,562.0,0.0
zero_control_sampling_stratum,,,motorway|ge500,7.0,34.0,7.0,0.0
zero_control_sampling_stratum,,,motorway|lt50,632.0,3140.0,632.0,0.0
zero_control_sampling_stratum,,,primary_link|100_200,4.0,13.0,4.0,0.0
zero_control_sampling_stratum,,,primary_link|50_100,20.0,54.0,20.0,0.0
zero_control_sampling_stratum,,,primary_link|lt50,181.0,896.0,181.0,0.0
zero_control_sampling_stratum,,,primary|100_200,293.0,289.0,289.0,4.0
zero_control_sampling_stratum,,,primary|200_500,41.0,91.0,41.0,0.0
zero_control_sampling_stratum,,,primary|50_100,754.0,626.0,626.0,128.0
zero_control_sampling_stratum,,,primary|ge500,1.0,10.0,1.0,0.0
zero_control_sampling_stratum,,,primary|lt50,4768.0,9497.0,4768.0,0.0
zero_control_sampling_stratum,,,residential|100_200,2033.0,3034.0,2033.0,0.0
zero_control_sampling_stratum,,,residential|200_500,143.0,294.0,143.0,0.0
zero_control_sampling_stratum,,,residential|50_100,5882.0,11348.0,5882.0,0.0
zero_control_sampling_stratum,,,residential|ge500,2.0,5.0,2.0,0.0
zero_control_sampling_stratum,,,residential|lt50,18225.0,107998.0,18225.0,0.0
zero_control_sampling_stratum,,,secondary_link|100_200,5.0,3.0,3.0,2.0
zero_control_sampling_stratum,,,secondary_link|200_500,1.0,1.0,1.0,0.0
zero_control_sampling_stratum,,,secondary_link|50_100,10.0,18.0,10.0,0.0
zero_control_sampling_stratum,,,secondary_link|lt50,147.0,667.0,147.0,0.0
zero_control_sampling_stratum,,,secondary|100_200,259.0,263.0,259.0,0.0
zero_control_sampling_stratum,,,secondary|200_500,29.0,28.0,28.0,1.0
zero_control_sampling_stratum,,,secondary|50_100,670.0,670.0,670.0,0.0
zero_control_sampling_stratum,,,secondary|ge500,1.0,2.0,1.0,0.0
zero_control_sampling_stratum,,,secondary|lt50,4154.0,11733.0,4154.0,0.0
zero_control_sampling_stratum,,,service|100_200,173.0,1875.0,173.0,0.0
zero_control_sampling_stratum,,,service|200_500,22.0,328.0,22.0,0.0
zero_control_sampling_stratum,,,service|50_100,540.0,6430.0,540.0,0.0
