metric,value
traffic_tramo_rows_total,378
traffic_tramo_geometry_valid_n,378
traffic_tramo_bbox_overlap_with_network,FALSE
traffic_tramo_linked_pairs_n,0
traffic_tramo_linked_unique_tramos_n,0
traffic_tramo_linked_unique_edges_n,0
traffic_tramo_unlinked_rows_n,378
sensor_crosswalk_pairs_n,60413
sensor_crosswalk_unique_edges_n,55867
sensor_crosswalk_unique_sensors_n,4724
edges_with_exposure_proxy_n,53691
edges_with_exposure_proxy_pct_over_network,14.76
edges_with_exposure_proxy_pct_over_edges_with_accidents,96.11
edges_with_reliable_exposure_proxy_n,53565
edges_with_no_proxy_n,310009
historical_exposure_adjusted_nonmissing_n,361524
