metric,value
network_edges_n,363700
matched_accidents_available_n,134565
matched_accidents_with_parsed_hour_n,134565
matched_accidents_with_any_numeric_context_n,109820
dynamic_base_rows_n,103556
dynamic_base_unique_edges_n,55867
dynamic_base_unique_edges_pct_over_network,15.36
dynamic_base_unique_edges_pct_over_matched_edges,100.00
dynamic_base_unique_contextual_bins_n,12
dynamic_rows_with_dynamic_signal_n,85779
dynamic_rows_without_numeric_context_n,17777
context_quality_high_n,1484
context_quality_medium_n,14545
context_quality_low_n,69750
context_quality_no_numeric_n,17777
rows_with_historical_score_available_n,99932
rows_with_historical_score_missing_n,3624
dynamic_signal_p50_nonmissing,51.486
dynamic_signal_p95_nonmissing,87.743
future_combined_edge_risk_calculated,FALSE
