metric,value
combined_rows_n,103556
combined_unique_edges_n,55867
historical_component_nonmissing_n,103556
exposure_adjusted_historical_component_nonmissing_n,99932
rows_using_exposure_adjusted_historical_n,99932
rows_using_raw_historical_fallback_n,3624
dynamic_component_nonmissing_n,85779
rows_using_weighted_average_n,85779
rows_using_historical_only_fallback_n,17777
rows_using_dynamic_only_fallback_n,0
combined_edge_risk_prelim_nonmissing_n,103556
combined_edge_risk_prelim_p50_nonmissing,33.473
combined_edge_risk_prelim_p95_nonmissing,86.701
combined_edge_risk_prelim_max,100.000
future_routing_weight_calculated,FALSE
