edge_id,bins_n,context_observation_weight_n,baseline_edge_risk,historical_heavy_edge_risk,dynamic_heavy_edge_risk,baseline_rank,historical_heavy_rank,dynamic_heavy_rank,rank_shift_baseline_vs_historical_heavy,rank_shift_baseline_vs_dynamic_heavy,rank_shift_historical_vs_dynamic_heavy,max_rank_change_across_scenarios,historical_only_fallback_bins_n,dynamic_available_bins_n,primary_shift_driver
m8e_6cafd5143d92f43a,1,1,38.092,45.711,22.856,16559,10666,43277,5893,26718,32611,32611,0,1,historical_heavy_vs_dynamic_heavy
m8e_3d42641dc0222471,1,1,35.105,42.077,21.162,19543,12240,44646,7303,25103,32406,32406,0,1,historical_heavy_vs_dynamic_heavy
m8e_1b376f59200a8b77,1,1,36.323,43.471,22.026,18226,11634,43956,6592,25730,32322,32322,0,1,historical_heavy_vs_dynamic_heavy
m8e_676d64282d649056,1,1,35.056,41.976,21.216,19610,12293,44599,7317,24989,32306,32306,0,1,historical_heavy_vs_dynamic_heavy
m8e_c2588122f72a0731,1,1,36.144,43.241,21.95,18399,11725,44018,6674,25619,32293,32293,0,1,historical_heavy_vs_dynamic_heavy
m8e_58e6342cfadd8577,1,1,33.104,39.724,19.863,22046,13422,45638,8624,23592,32216,32216,0,1,historical_heavy_vs_dynamic_heavy
m8e_9a65b94f40134bfb,1,1,38.058,45.474,23.227,16601,10762,42946,5839,26345,32184,32184,0,1,historical_heavy_vs_dynamic_heavy
m8e_b4640528ad1df40e,1,1,42.585,51.102,25.551,13065,8690,40848,4375,27783,32158,32158,0,1,historical_heavy_vs_dynamic_heavy
m8e_cca126a770adde19,1,1,40.59,48.589,24.592,14448,9562,41719,4886,27271,32157,32157,0,1,historical_heavy_vs_dynamic_heavy
m8e_87b93fa0b5cbb4c3,1,1,40.23,48.13,24.43,14733,9735,41871,4998,27138,32136,32136,0,1,historical_heavy_vs_dynamic_heavy
m8e_e95f5944f1e7a6de,1,1,42.545,51.024,25.587,13099,8719,40813,4380,27714,32094,32094,0,1,historical_heavy_vs_dynamic_heavy
m8e_e9349c7ed5f62cad,1,1,35.775,42.702,21.919,18792,11960,44040,6832,25248,32080,32080,0,1,historical_heavy_vs_dynamic_heavy
m8e_f335e01d72b6421a,1,1,41.084,49.16,24.931,14090,9345,41414,4745,27324,32069,32069,0,1,historical_heavy_vs_dynamic_heavy
m8e_6077e02bab7f3fe8,1,1,32.248,38.697,19.349,23227,14002,46025,9225,22798,32023,32023,0,1,historical_heavy_vs_dynamic_heavy
m8e_085c44035ea347e9,1,1,40.754,48.691,24.881,14322,9512,41454,4810,27132,31942,31942,0,1,historical_heavy_vs_dynamic_heavy
m8e_6cbacf40a54abaeb,1,1,40.895,48.86,24.965,14219,9456,41384,4763,27165,31928,31928,0,1,historical_heavy_vs_dynamic_heavy
m8e_d3944d2c2a65c20c,1,1,32.503,38.923,19.662,22904,13874,45798,9030,22894,31924,31924,0,1,historical_heavy_vs_dynamic_heavy
m8e_38973df324596f69,2,2,38.289500000000004,45.6035,23.6605,16394,10706,42544,5688,26150,31838,31838,0,2,historical_heavy_vs_dynamic_heavy
m8e_68d777055a4f2409,1,1,33.957,40.486,20.9,20942,13029,44828,7913,23886,31799,31799,0,1,historical_heavy_vs_dynamic_heavy
m8e_ae0c70be5636d422,1,1,41.426,49.463,25.352,13853,9243,41038,4610,27185,31795,31795,0,1,historical_heavy_vs_dynamic_heavy
m8e_b16c22a64a868106,1,1,42.626,50.983,25.911,13035,8737,40526,4298,27491,31789,31789,0,1,historical_heavy_vs_dynamic_heavy
m8e_1b69a6e6bbe2f6e6,1,1,37.795,44.986,23.415,16834,10981,42762,5853,25928,31781,31781,0,1,historical_heavy_vs_dynamic_heavy
m8e_2a2daa29cacc4ae4,1,1,35.684,42.438,22.177,18902,12062,43836,6840,24934,31774,31774,0,1,historical_heavy_vs_dynamic_heavy
m8e_77a5b2f4643b0a8e,1,2,34.207,40.734,21.154,20646,12884,44651,7762,24005,31767,31767,0,1,historical_heavy_vs_dynamic_heavy
m8e_a817ce171e0c8ec5,1,1,41.544,49.595,25.441,13785,9205,40961,4580,27176,31756,31756,0,1,historical_heavy_vs_dynamic_heavy
m8e_e29e6a0fbfd88dc1,1,1,43.643,52.269,26.392,12393,8340,40077,4053,27684,31737,31737,0,1,historical_heavy_vs_dynamic_heavy
