year,variable,n,missing_n,missing_pct,unique_n,mean,sd,p50,p95,zero_pct
2016,es_festivo,10189,0,0,2,0.0321915791539896,0.17651724964604504,0,0,96.78084208460103
2017,es_festivo,10409,0,0,2,0.037275434719953884,0.18944504376949453,0,0,96.27245652800461
2018,es_festivo,10675,0,0,2,0.0351288056206089,0.184113954083035,0,0,96.4871194379391
2019,es_festivo,21933,0,0,2,0.03761455341266585,0.1902665218233683,0,0,96.23854465873342
2020,es_festivo,14168,0,0,2,0.029573687182382836,0.1694140194283374,0,0,97.04263128176171
2021,es_festivo,17944,0,0,2,0.04006910387873384,0.19612678156327482,0,0,95.99308961212661
2022,es_festivo,20206,0,0,2,0.03682074631297635,0.18832613788714914,0,0,96.31792536870236
2023,es_festivo,20668,0,0,2,0.03527191794077802,0.1844707462605496,0,0,96.4728082059222
2024,es_festivo,20691,0,0,2,0.03803586100236818,0.1912874871117454,0,0,96.19641389976317
2016,hour_cos,10189,0,0,22,-0.2441536865643606,0.6630717245889196,-0.4999999999999998,0.9659258262890681,7.488467955638434
2017,hour_cos,10409,0,0,22,-0.23107594401353604,0.6650262454908609,-0.4999999999999998,0.9659258262890681,6.9651263329810735
2018,hour_cos,10675,0,0,22,-0.2228744690524622,0.6611433651150536,-0.4999999999999998,0.9659258262890681,7.587822014051522
2019,hour_cos,21933,0,0,22,-0.18231217231708807,0.6678736480974365,-0.25881904510252063,0.9659258262890681,8.525965440204258
2020,hour_cos,14168,0,0,22,-0.1674660818325085,0.6874454448387404,-0.25881904510252063,0.9659258262890681,7.8769057029926595
2021,hour_cos,17944,0,0,22,-0.16582248810879244,0.6860629823558207,-0.25881904510252063,0.9659258262890681,7.997102095407936
2022,hour_cos,20206,0,0,22,-0.16152200500148473,0.6703992350170579,-0.25881904510252063,0.9659258262890681,8.992378501435217
2023,hour_cos,20668,0,0,22,-0.18245505590514233,0.6698223987388654,-0.25881904510252063,0.9659258262890681,8.525256435068705
2024,hour_cos,20691,0,0,22,-0.1975346861294676,0.6679953224946172,-0.25881904510252063,0.9659258262890681,8.58827509545213
2016,hour_sin,10189,0,0,22,-0.2520745932443286,0.6612634357897255,-0.4999999999999997,0.9659258262890683,7.25291981548729
2017,hour_sin,10409,0,0,22,-0.2473814136666327,0.665756341964531,-0.4999999999999997,0.9659258262890683,7.032375828609857
2018,hour_sin,10675,0,0,22,-0.25615684587253285,0.669091157288003,-0.4999999999999997,0.9659258262890683,6.9882903981264635
2019,hour_sin,21933,0,0,22,-0.24545016488746244,0.6786034273494314,-0.4999999999999997,0.9659258262890683,7.44540190580404
2020,hour_sin,14168,0,0,22,-0.2940740914450153,0.6426171513677863,-0.4999999999999997,0.8660254037844387,8.370976849237719
2021,hour_sin,17944,0,0,22,-0.29859355545775934,0.6424263428013202,-0.4999999999999997,0.8660254037844387,7.65715559518502
