year,set_name,total_n,complete_cases_n,complete_cases_pct,dropped_n,dropped_pct
2016,full_candidate,10189,8094,79.43861026597311,2095,20.561389734026893
2017,full_candidate,10409,7287,70.00672494956288,3122,29.993275050437123
2018,full_candidate,10675,6547,61.33021077283372,4128,38.66978922716628
2019,full_candidate,21933,16791,76.55587470934209,5142,23.44412529065791
2020,full_candidate,14168,10891,76.87041219649916,3277,23.129587803500847
2021,full_candidate,17944,14704,81.94382523406152,3240,18.056174765938476
2022,full_candidate,20206,16804,83.16341680688905,3402,16.836583193110958
2023,full_candidate,20668,18194,88.02980452874009,2474,11.970195471259919
2024,full_candidate,20691,18473,89.28036344304287,2218,10.71963655695713
2016,main_continuous,10189,8094,79.43861026597311,2095,20.561389734026893
2017,main_continuous,10409,7287,70.00672494956288,3122,29.993275050437123
2018,main_continuous,10675,8930,83.65339578454332,1745,16.346604215456676
2019,main_continuous,21933,16796,76.57867140838006,5137,23.421328591619933
2020,main_continuous,14168,10896,76.90570299265951,3272,23.094297007340487
2021,main_continuous,17944,14707,81.96054391440036,3237,18.039456085599642
2022,main_continuous,20206,16805,83.16836583193111,3401,16.83163416806889
2023,main_continuous,20668,18199,88.05399651635378,2469,11.946003483646216
2024,main_continuous,20691,18481,89.31902759653956,2210,10.680972403460443
2016,with_binary_calendar,10189,8094,79.43861026597311,2095,20.561389734026893
2017,with_binary_calendar,10409,7287,70.00672494956288,3122,29.993275050437123
2018,with_binary_calendar,10675,8930,83.65339578454332,1745,16.346604215456676
2019,with_binary_calendar,21933,16796,76.57867140838006,5137,23.421328591619933
2020,with_binary_calendar,14168,10896,76.90570299265951,3272,23.094297007340487
2021,with_binary_calendar,17944,14707,81.96054391440036,3237,18.039456085599642
2022,with_binary_calendar,20206,16805,83.16836583193111,3401,16.83163416806889
2023,with_binary_calendar,20668,18199,88.05399651635378,2469,11.946003483646216
2024,with_binary_calendar,20691,18481,89.31902759653956,2210,10.680972403460443
2016,with_vmed,10189,8094,79.43861026597311,2095,20.561389734026893
2017,with_vmed,10409,7287,70.00672494956288,3122,29.993275050437123
2018,with_vmed,10675,6547,61.33021077283372,4128,38.66978922716628
2019,with_vmed,21933,16791,76.55587470934209,5142,23.44412529065791
2020,with_vmed,14168,10891,76.87041219649916,3277,23.129587803500847
2021,with_vmed,17944,14704,81.94382523406152,3240,18.056174765938476
2022,with_vmed,20206,16804,83.16341680688905,3402,16.836583193110958
2023,with_vmed,20668,18194,88.02980452874009,2474,11.970195471259919
2024,with_vmed,20691,18473,89.28036344304287,2218,10.71963655695713
