analysis_year,month,row_count,matched_rows,matched_pct,temporal_bin_4h
2024,1,5909,5655,95.7,
2024,7,5809,5569,95.87,
2024,10,7000,6631,94.73,
2024,4,6664,6392,95.92,
2024,1,1446,1374,95.02,12_15
2024,1,313,290,92.65,00_03
2024,1,499,484,96.99,04_07
2024,1,1139,1091,95.79,08_11
2024,1,1520,1461,96.12,16_19
2024,1,992,955,96.27,20_23
2024,7,1415,1371,96.89,16_19
2024,7,509,489,96.07,00_03
2024,10,448,427,95.31,00_03
2024,4,413,408,98.79,00_03
2024,4,1296,1254,96.76,08_11
2024,4,1676,1598,95.35,12_15
2024,4,1769,1679,94.91,16_19
2024,4,1079,1040,96.39,20_23
2024,4,431,413,95.82,04_07
2024,7,1040,1000,96.15,08_11
2024,7,363,351,96.69,04_07
2024,7,1517,1446,95.32,12_15
2024,7,965,912,94.51,20_23
2024,10,479,439,91.65,04_07
2024,10,1363,1302,95.52,08_11
2024,10,1668,1588,95.2,12_15
2024,10,1806,1702,94.24,16_19
2024,10,1236,1173,94.9,20_23
