"metric","value"
"traffic_month_files_processed_n","4"
"months_processed","1,4,7,10"
"sensor_panel_row_count","52624471"
"sensor_panel_unique_sensors","4753"
"aggregated_row_count","222357"
"aggregated_unique_sensors","4753"
"sensor_locations_unique_sensors","5070"
"sensor_id_duplicates_in_official_locations_n","0"
"sensor_join_key_used","sensor_id"
"sensor_join_match_rows_n","221240"
"sensor_join_match_rows_pct","99.5"
"panel_missing_intensidad_pct","0"
"panel_missing_ocupacion_pct","0.12"
"panel_missing_vmed_pct","0.07"
"panel_error_non_n_pct","0.14"
"panel_min_timestamp","2023-12-31 23:00:00"
"panel_max_timestamp","2024-10-31 22:45:00"
