family,split,scope,n_rows,target_mean,target_variance,zero_pct,use_traffic_vmed,nb_justified,feature_block_no_traffic,mean_poisson_deviance_no_traffic,mae_no_traffic,rmse_no_traffic,pearson_dispersion_no_traffic,calibration_mean_abs_gap_decile_no_traffic,feature_block_with_traffic,mean_poisson_deviance_with_traffic,mae_with_traffic,rmse_with_traffic,pearson_dispersion_with_traffic,calibration_mean_abs_gap_decile_with_traffic,delta_mean_poisson_deviance,delta_mae,delta_rmse,delta_pearson_dispersion,delta_calibration_gap
poisson,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.38,TRUE,FALSE,no_traffic,0.18401049600482,0.0401685324423121,0.1614645155341,61.5512076689944,0.0114339039120753,with_traffic,0.182357872716501,0.0409541220704466,0.161284385987107,58.1295648840278,0.0106698236945256,-0.00165262328831919,0.000785589628134506,-0.000180129546993646,-3.42164278496655,-0.000764080217549737
poisson,test,overall,74604,0.0261514127928797,0.0260040292433426,97.41,TRUE,FALSE,no_traffic,0.182501988736839,0.0399049252405633,0.160472465753578,54.9724888962861,0.0111233386268181,with_traffic,0.180732611320836,0.0403010798100358,0.160300481556727,51.9373347986189,0.0107032319365755,-0.00176937741600261,0.000396154569472514,-0.000171984196851771,-3.03515409766718,-0.000420106690242622
poisson,test,positive_only,1933,1.00931195033626,0.0113004062598071,0,TRUE,FALSE,no_traffic,5.93244283751385,0.984523466757662,0.990230621858093,2121.10376535806,0.984529032355958,with_traffic,5.83021500698306,0.982843608332752,0.988463300518065,2003.94523551626,0.982836947192044,-0.10222783053079,-0.00167985842491014,-0.00176732134002811,-117.158529841799,-0.00169208516391439
poisson,test,zero_only,72671,0,0,100,TRUE,FALSE,no_traffic,0.0295574075327,0.01477870376635,0.0188210139789927,0.01477870376635,0.0147787634905142,with_traffic,0.0304601577862064,0.0152300788931032,0.019763926806407,0.0152300788931032,0.0152301421997361,0.000902750253506321,0.00045137512675316,0.000942912827414308,0.00045137512675316,0.000451378709221904
poisson,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.68,TRUE,FALSE,no_traffic,0.162871518618636,0.0446442334017191,0.150830068350502,1.04271751456482,0.00297594617619647,with_traffic,0.16242577555646,0.0448506115835409,0.150748249136468,1.02647966746761,0.00259617699269379,-0.000445743062176152,0.000206378181821808,-8.18192140336904e-05,-0.0162378470972082,-0.000379769183502682
poisson,train,overall,149208,0.0230148517505764,0.0227936155749296,97.71,TRUE,FALSE,no_traffic,0.161049996606558,0.0443191118631956,0.149850700181895,1.02414019923208,0.0029123719388742,with_traffic,0.160504944757432,0.0442707317578671,0.149763898385646,1.02445796130961,0.00273768696160362,-0.000545051849125622,-4.83801053284688e-05,-8.68017962484258e-05,0.000317762077525208,-0.000174684977270572
poisson,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,TRUE,FALSE,no_traffic,5.10618053550114,0.969329521942322,0.972904263546096,43.8298234545536,0.969329153449218,with_traffic,5.08445453210803,0.968271372018358,0.971861918180231,43.8447815294373,0.968270747815641,-0.0217260033931153,-0.00105814992396358,-0.00104234536586545,0.0149580748837863,-0.00105840563357607
poisson,train,zero_only,145797,0,0,100,TRUE,FALSE,no_traffic,0.0453559818588643,0.0226779909294322,0.0289085456143068,0.0226779909294322,0.0226779942731727,with_traffic,0.04530646987487,0.022653234937435,0.0292662604595718,0.022653234937435,0.0226532453157562,-4.95119839943187e-05,-2.47559919971593e-05,0.000357714845265023,-2.47559919971593e-05,-2.47489574164844e-05
poisson,validation,covered_only,67249,0.0220821127451709,0.0223383306949414,97.82,TRUE,FALSE,no_traffic,0.157889877834427,0.0375852945566837,0.148582971788623,1.30717228914798,0.00540583390146053,with_traffic,0.156912111101815,0.0380436245633226,0.148460281255591,1.25285430701717,0.00503272754930425,-0.000977766732612212,0.000458330006638946,-0.000122690533031655,-0.0543179821308046,-0.000373106352156288
poisson,validation,overall,74604,0.0216074205136454,0.0218110376007936,97.87,TRUE,FALSE,no_traffic,0.155532483827395,0.037090893765367,0.146838541020533,1.29647924383682,0.00498348408318944,with_traffic,0.1545729332584,0.0373258095883456,0.146718247767599,1.26946611029883,0.00468783994411237,-0.000959550568995327,0.000234915822978674,-0.000120293252933917,-0.0270131335379886,-0.000295644139077066
poisson,validation,positive_only,1591,1.01319924575739,0.0180646640497452,0,TRUE,FALSE,no_traffic,5.78755825308859,0.986460664408488,0.995505955233076,60.0407714555654,0.986462712319066,with_traffic,5.71768586547709,0.985037239541875,0.994045703431404,58.7616525721661,0.985038751692909,-0.069872387611496,-0.00142342486661273,-0.00146025180167242,-1.27911888339937,-0.00142396062615713
poisson,validation,zero_only,73013,0,0,100,TRUE,FALSE,no_traffic,0.032807037689111,0.0164035188445555,0.0208847639673523,0.0164035188445555,0.0164036623550818,with_traffic,0.0333491419450732,0.0166745709725366,0.0215266846626388,0.0166745709725366,0.0166747194977059,0.000542104255962149,0.000271052127981074,0.000641920695286569,0.000271052127981074,0.000271057142624084
